Ch2 tests
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,24,cs,3227.60586680525,d=3462.9151549995145
v,15,cs,5977.543491997408,d=2491.7315601438468
v,21,cs,3601.6238712844593,d=3133.1648987581357
v,32,cs,2838.054536775323,d=3566.2685902862463
v,19,cs,4039.5422594782044,d=3157.654089175091
v,22,cs,3485.896489396561,d=3101.175220107353
v,30,cs,2899.998178777851,d=3858.5726466290444
v,20,cs,3953.692902262907,d=3230.974767680513
v,29,cs,3006.2149705262227,d=3617.114081429854
v,18,cs,4279.192496055697,d=3062.235247643097
v,26,cs,3082.297051782315,d=3684.535347148648
v,23,cs,3327.6487114256884,d=3655.8333353671665
v,8,cs,7981.46534125438,d=2620.4746526334216
v,10,cs,6575.377841326042,d=2419.0544730936786
v,12,cs,6035.210235343048,d=2901.7678871430353
v,16,cs,4437.522188024689,d=2950.6828587218397
./data/B-n44-k7.vrp,COMMENT : (Augerat et al, Min no of trucks: 7, Optimal value: 909),
v,20,cs,3820.265622448567,d=2999.953119324553
v,23,cs,3534.057095164813,d=3300.383524751196
v,28,cs,2906.2947060527,d=3570.215591733834
v,31,cs,2724.196006213211,d=3823.065916418153
v,22,cs,3553.984660812592,d=2964.4662332669986
v,24,cs,3346.009924386027,d=3319.43293586184
v,36,cs,2663.5524154132545,d=3903.131414534276
v,26,cs,3158.057428623913,d=3579.609468539035
v,25,cs,3261.9054025475057,d=3267.6778575915023
v,9,cs,6902.317802442424,d=2489.0881369533604
v,10,cs,6224.407132242038,d=2558.7611826814236
v,13,cs,4842.729725265149,d=2766.9719186136454
v,7,cs,8487.147119986024,d=2566.3316147966652
v,19,cs,4012.5241332613055,d=3128.2885493144377
v,18,cs,4308.633059614661,d=3102.3567786607036
v,21,cs,3723.7904621270336,d=3372.645808975321
v,27,cs,3141.236898951953,d=3721.1347497010065
./data/B-n44-k7.vrp,COMMENT : (Augerat et al, Min no of trucks: 7, Optimal value: 909),
v,21,cs,3526.2521107984817,d=3161.2703762838437
v,20,cs,3732.5215578469515,d=3325.546689775477
v,17,cs,4363.698095115983,d=3139.38935650868
v,13,cs,5979.8951503766875,d=2899.3178867312677
v,25,cs,3192.6072967285686,d=3462.943473381689
v,44,cs,2218.4538180735044,d=4436.907636147009
v,37,cs,2503.7115334543014,d=4183.8469983958585
v,35,cs,2696.7629834030427,d=4026.570149328659
v,36,cs,2657.7962421190177,d=4040.2769996095217
v,31,cs,2773.848703726318,d=3993.081060989079
v,30,cs,2902.1889347754673,d=3788.610374602683
v,22,cs,3478.521563488194,d=3505.2049596647494
v,19,cs,3945.365823696083,d=2919.543726040874
v,16,cs,4876.948880427863,d=2891.2488365007434
v,15,cs,5441.649470277058,d=2906.9344119851576
v,26,cs,3119.8901965834666,d=3534.0412211178473
v,18,cs,4220.905245941311,d=2795.1214262709013
v,27,cs,3051.906929583902,d=3500.75914230079
v,24,cs,3366.0292611247173,d=3456.2379757127883
./data/B-n44-k7.vrp,COMMENT : (Augerat et al, Min no of trucks: 7, Optimal value: 909),
v,32,cs,2790.2083769678793,d=3907.704368451288
v,25,cs,3226.330272384033,d=3551.098151406757
v,13,cs,6193.605541795113,d=2859.3155017747877
v,16,cs,4312.636014403375,d=2984.560619733427
v,21,cs,3470.045646030089,d=3327.05143739004
v,14,cs,6075.724676688353,d=2852.868755491701
v,15,cs,5342.377405518792,d=3005.3866615388456
v,24,cs,3306.3687223998386,d=3392.3453337003966
v,26,cs,3172.595938959986,d=3546.3665811019164
v,30,cs,2993.9330455481004,d=3881.6125019531155
v,19,cs,3726.9207478194635,d=3240.429729622267
v,27,cs,3162.871339086982,d=3716.082790583867
v,23,cs,3446.4899931858727,d=3397.0270265369827
v,28,cs,3017.017383065712,d=3504.00575476578
./data/B-n44-k7.vrp,COMMENT : (Augerat et al, Min no of trucks: 7, Optimal value: 909),
v,20,cs,3798.1374710867676,d=3322.1050504155237
v,21,cs,3684.0327434625506,d=3381.870816482716
v,19,cs,3980.68055947462,d=3337.1765126612477
v,17,cs,4470.68790150328,d=2600.706341465935
v,23,cs,3498.8262908335255,d=3421.5177900913363
v,31,cs,2887.108639691561,d=3665.7388440831014
v,26,cs,3039.6391485902454,d=3573.4400649530253
v,29,cs,2977.1453259479244,d=3570.4458389297442
v,22,cs,3502.204795672971,d=3186.5029983374743
v,25,cs,3153.4082770313794,d=3569.456502261011
v,24,cs,3355.1205337034485,d=3389.9962240438363
v,28,cs,2994.577656544985,d=3745.777783984048
v,10,cs,6943.979406892708,d=2744.3523205681354
v,13,cs,5787.87833783329,d=2688.837459863539
v,14,cs,5476.366731273362,d=2955.639777763323
v,16,cs,4999.919777916722,d=2852.693410595742
v,18,cs,4028.38923035567,d=3040.658624168313
./data/B-n44-k7.vrp,COMMENT : (Augerat et al, Min no of trucks: 7, Optimal value: 909),
v,11,cs,7103.845613437872,d=2554.8385327381666
v,21,cs,3675.896980277056,d=3271.755409025823
v,40,cs,2305.9526514447557,d=4307.698923580711
v,30,cs,3007.790611629267,d=3690.63639399114
v,16,cs,4517.110786522817,d=2848.338916097139
v,24,cs,3177.075090115113,d=3567.2073013176287
v,14,cs,5606.389527209039,d=2833.3748981380854
v,22,cs,3469.286896575346,d=3269.1487685465086
v,23,cs,3331.452074266189,d=3130.9336012933836
v,19,cs,3999.5280506255035,d=3169.6509291792368
v,34,cs,2704.9500306623563,d=3926.4626766153333
v,20,cs,3830.5819053071828,d=3270.831079673522
v,37,cs,2565.7126383688233,d=4150.294058801413
v,38,cs,2486.068190205846,d=4229.036697969313
v,35,cs,2681.1434001416915,d=3915.8427971615097
v,39,cs,2485.530231627251,d=4155.205938119852
v,27,cs,3050.921470854911,d=3844.359011625441
v,18,cs,4338.757616779893,d=3167.3558102142442
v,29,cs,3010.146451976133,d=3607.7995163014866
v,28,cs,3018.947346063482,d=3531.8388519470273
v,31,cs,2829.251535256446,d=3781.6662444681824
./data/B-n44-k7.vrp,COMMENT : (Augerat et al, Min no of trucks: 7, Optimal value: 909),
v,25,cs,3251.6519758266554,d=3508.5596640382764
v,17,cs,4124.748302110726,d=2887.1308663936297
v,23,cs,3350.629395911768,d=3366.5221410561794
v,21,cs,3692.645554359671,d=3238.943869721323
v,36,cs,2563.002699021187,d=4003.8266926801252
v,34,cs,2732.8326480499954,d=3873.7052289570674
v,26,cs,3244.0514002240375,d=3401.7471492941127
v,30,cs,2857.8221551037404,d=3740.6599801472885
v,44,cs,2218.4538180735044,d=4436.907636147009
v,33,cs,2792.068672123312,d=3972.7812425300453
v,35,cs,2625.1538375806845,d=4070.2258888475717
v,32,cs,2795.4058947453364,d=3918.5609470258187
v,27,cs,3019.275539284104,d=3670.260131351317
v,39,cs,2405.0134704041498,d=4220.948982800178
v,37,cs,2488.888304817792,d=4161.052895510458
v,28,cs,2907.1746779261807,d=3749.523477081481
v,22,cs,3607.044901970364,d=3298.0222569814214
v,7,cs,8656.12870948135,d=2455.4551402469306
v,18,cs,4087.523984858521,d=3106.623636186656
v,19,cs,3988.5829132336166,d=3200.7589114145912
v,8,cs,7767.291540671633,d=2427.498066572423
v,11,cs,6687.862832758817,d=2612.964120009895
v,13,cs,5810.073565989162,d=2781.5261132724586
v,15,cs,4708.1863199886475,d=2868.7151557775423
v,20,cs,3790.5824991354875,d=2978.7132325229445
./data/B-n44-k7.vrp,COMMENT : (Augerat et al, Min no of trucks: 7, Optimal value: 909),
v,14,cs,5643.701525014998,d=3003.2492398426266
v,23,cs,3450.321005506822,d=3217.662268089059
v,21,cs,3717.368625889322,d=3290.1532997975955
v,22,cs,3530.7208874618796,d=3377.6034296032335
v,20,cs,3808.0151173788927,d=3324.13404917572
v,18,cs,4265.321211127767,d=3064.169055276885
v,13,cs,5921.95168493173,d=2764.0090258547602
v,17,cs,4624.7340845107365,d=3031.6176286115256
v,19,cs,4016.09378521706,d=3125.9681428249337
v,8,cs,7491.603287909104,d=2494.460674795528
v,11,cs,7099.148533274356,d=2637.4652054043536
v,12,cs,6556.804971728001,d=2761.5086354935424
v,15,cs,5051.61617882299,d=3070.038023228644
v,26,cs,3164.6637467767255,d=3619.116477036106
v,30,cs,2903.8816783523353,d=3856.6718556784394
v,31,cs,2850.5095118007075,d=3927.532832875903
v,37,cs,2733.044295689886,d=4076.2919676747033
v,33,cs,2782.564004438335,d=3852.7265435081786
v,29,cs,2959.8822718279844,d=3525.046220413849
v,28,cs,3060.0286189117724,d=3540.2188338417027
v,24,cs,3292.637441855056,d=3357.0986247583987
v,27,cs,3125.0478127028277,d=3688.0641446077493
v,16,cs,4870.800917086822,d=2972.7730177828776
v,25,cs,3275.53489600784,d=3465.5083911410097
./data/B-n44-k7.vrp,COMMENT : (Augerat et al, Min no of trucks: 7, Optimal value: 909),
v,44,cs,2218.4538180735044,d=4436.907636147009
v,20,cs,3843.759735077074,d=3265.2958206300586
v,28,cs,3090.536235487949,d=3885.3348864025033
v,29,cs,2934.3886448193052,d=3628.1658483373667
v,24,cs,3334.607183163721,d=3286.3742657248445
v,12,cs,6630.670790033802,d=2525.6107372107936
v,17,cs,4420.481048300867,d=3002.533357253561
v,41,cs,2472.1431175540856,d=4131.2222199123225
v,13,cs,5097.293702513966,d=2638.142797812848
v,22,cs,3489.848963201298,d=3520.557182163275
v,36,cs,2709.3504563789506,d=3988.8396761239887
v,32,cs,2730.8220547715796,d=3913.7234132694666
v,18,cs,4307.780237346985,d=2881.7404148612404
v,19,cs,3980.332451579531,d=3081.805169566603
v,16,cs,4819.645134559262,d=2985.9111550027264
v,34,cs,2727.797821967482,d=3966.586735484063
v,27,cs,3137.0262237416346,d=3600.7570287537405
v,21,cs,3691.232822891023,d=3172.0069250187676
v,26,cs,3143.1193671393926,d=3590.737364094883
v,25,cs,3260.326504881347,d=3540.0980986714767
Grand front,B-n44-k7.vrp,n,31,obj0Max,44.0,obj0Min,7.0,obj1Max,8487.147119986024,obj1Min,2218.4538180735044
V,15,CS,4585.500192428455
V,23,CS,3327.6487114256884
V,12,CS,6035.210235343048
V,28,CS,2906.2947060527
V,31,CS,2724.196006213211
V,9,CS,6902.317802442424
V,10,CS,6224.407132242038
V,13,CS,4842.729725265149
V,7,CS,8487.147119986024
V,44,CS,2218.4538180735044
V,16,CS,4312.636014403375
V,21,CS,3470.045646030089
V,19,CS,3726.9207478194635
V,26,CS,3039.6391485902454
V,25,CS,3153.4082770313794
V,18,CS,4028.38923035567
V,40,CS,2305.9526514447557
V,24,CS,3177.075090115113
V,22,CS,3469.286896575346
V,34,CS,2704.9500306623563
V,38,CS,2486.068190205846
V,17,CS,4124.748302110726
V,36,CS,2563.002699021187
V,30,CS,2857.8221551037404
V,44,CS,2218.4538180735044
V,35,CS,2625.1538375806845
V,27,CS,3019.275539284104
V,39,CS,2405.0134704041498
V,37,CS,2488.888304817792
V,8,CS,7491.603287909104
V,44,CS,2218.4538180735044
./data/B-n45-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 751),
v,6,cs,8427.190094090574,d=2506.59682365912
v,9,cs,6662.380911124709,d=2771.3979110266337
v,11,cs,5848.524823938041,d=2686.729073558998
v,28,cs,2627.550932310444,d=3398.383211385297
v,35,cs,2248.249418910428,d=3485.222066993002
v,26,cs,2721.5894078469673,d=3185.2000904829556
v,29,cs,2605.461159833713,d=3147.9501975652124
v,24,cs,2899.242464320184,d=3031.4361484404553
v,25,cs,2765.9813901171083,d=3283.7125526348445
v,15,cs,4374.574030998097,d=2764.9223542964546
v,30,cs,2417.8682177147,d=3413.17320773448
v,13,cs,4821.197792779401,d=3033.0205212809847
v,16,cs,4137.222348631676,d=2614.3330049496944
v,18,cs,3419.9575392147412,d=2895.487307965348
v,23,cs,2941.4929356320663,d=2962.644773764279
v,32,cs,2375.7296951140206,d=3348.2288322497207
v,19,cs,3341.9684105031406,d=3077.461071512974
v,10,cs,6289.258886698416,d=2673.5943388277847
v,8,cs,7323.452741727661,d=2619.12302121143
v,14,cs,4548.658482516426,d=2697.6839411080723
v,12,cs,5162.854492507007,d=2891.2993341912697
v,27,cs,2683.974832635301,d=3139.1920361897173
v,17,cs,3871.836787884948,d=2791.506795207891
v,22,cs,3042.68232009171,d=3143.4821741236965
v,21,cs,3269.426540275375,d=2689.550417797233
./data/B-n45-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 751),
v,18,cs,3372.7163762239284,d=2982.6935094156956
v,37,cs,2221.4270658389364,d=3473.0820974947837
v,26,cs,2661.962562636783,d=3143.030555499746
v,32,cs,2375.5035923133996,d=3376.1910451761214
v,36,cs,2273.0609327619272,d=3506.4456256640824
v,27,cs,2603.828552425379,d=3365.138809939054
v,31,cs,2458.732921290202,d=3300.9304438221598
v,8,cs,6684.9331301985585,d=2702.338652360516
v,11,cs,5334.501607398983,d=2725.0301098482178
v,14,cs,4445.153457372935,d=2941.778320809667
v,16,cs,4073.2159422711284,d=2883.3797649926983
v,20,cs,3298.2410912254986,d=2966.9517804863603
v,21,cs,3051.0904514957797,d=2944.8947339547076
v,23,cs,2948.2988404359257,d=3174.0874355848614
v,24,cs,2826.55116399683,d=2990.9829686561507
v,17,cs,3853.4247040096775,d=3018.1316591613763
v,25,cs,2749.6302001241484,d=3257.474742765795
v,28,cs,2508.279073111626,d=3410.5185075215263
./data/B-n45-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 751),
v,17,cs,3711.477127923877,d=2659.654177382551
v,11,cs,5848.410615021911,d=2836.677767741653
v,16,cs,4692.651045755788,d=2918.6271084574814
v,21,cs,3151.1639993383696,d=2945.0859650867583
v,8,cs,7015.3194583468485,d=2693.957199755291
v,32,cs,2428.7186572535,d=3292.9618174778484
v,34,cs,2363.561697560818,d=3433.5057832648854
v,35,cs,2246.2069975448608,d=3457.479614033276
v,13,cs,5053.691240372243,d=2745.40751133835
v,14,cs,5009.565654168374,d=2864.673571345431
v,18,cs,3609.8753586177554,d=2939.641840429224
v,23,cs,2946.6575830402667,d=2980.69802570763
v,33,cs,2378.1832937123677,d=3394.1265445400677
v,29,cs,2510.790245915188,d=3275.0954659629947
v,22,cs,2947.3993920771163,d=3305.1675751610296
v,19,cs,3341.732920946647,d=3154.93810942037
v,28,cs,2519.1231854157304,d=3206.51994625462
v,24,cs,2803.299410912244,d=3039.3536952251243
v,31,cs,2467.1517919214994,d=3157.108384943036
v,27,cs,2635.4885100813717,d=3270.874907993904
v,26,cs,2687.957327729608,d=3405.86195900478
./data/B-n45-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 751),
v,21,cs,3004.122745259609,d=3183.09834897615
v,24,cs,2759.48298256921,d=2849.676843920774
v,30,cs,2531.0928059537787,d=3125.5275250902014
v,40,cs,2052.8306454993926,d=3513.4871763982974
v,13,cs,5557.863231803035,d=2770.4195666845426
v,15,cs,4543.160878775045,d=2766.961571276833
v,18,cs,3642.58815274615,d=3078.366471759565
v,22,cs,2992.2109865120233,d=3257.2120030912524
v,28,cs,2642.122803092137,d=3274.421817643144
v,11,cs,5725.580444205507,d=2478.919673229279
v,20,cs,3269.202539254525,d=3058.957785952497
v,16,cs,4412.608044650912,d=2933.2604426979133
v,19,cs,3405.114373785061,d=3104.2648165585074
v,17,cs,3912.212546393009,d=2958.308152598014
v,37,cs,2127.5205811495075,d=3606.119242189174
v,29,cs,2570.0225758670026,d=3463.8248203907424
v,31,cs,2496.3437423637424,d=3450.7666521578
v,45,cs,1856.2692877101967,d=3712.5385754203935
v,38,cs,2120.3092819881954,d=3495.641934994079
v,39,cs,2091.8040457959128,d=3497.4990333342457
v,42,cs,1980.333934329625,d=3591.8802204008657
v,41,cs,1996.596797177814,d=3652.081773187673
v,32,cs,2369.5065331755204,d=3369.455988721541
v,33,cs,2210.630265660927,d=3578.8545563634043
v,27,cs,2671.7841290233446,d=3159.3865097797698
v,14,cs,5396.9987909275005,d=2936.5079266178604
v,23,cs,2814.358681573698,d=3169.415148731154
v,26,cs,2714.741119026611,d=3277.822923711263
v,25,cs,2749.7114094166163,d=3319.5694908807
./data/B-n45-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 751),
v,18,cs,3680.20739835403,d=2937.7874746294756
v,16,cs,4221.062451470268,d=2876.5106021191987
v,9,cs,7820.258242236708,d=2482.49442707165
v,10,cs,6630.553202377275,d=2733.575765796317
v,11,cs,6552.499941330394,d=2701.303015243519
v,13,cs,5141.390418190361,d=2830.7674556650823
v,14,cs,4659.648652997287,d=2633.6696937454867
v,31,cs,2505.8433967296305,d=3470.529713244029
v,20,cs,3234.0087581594976,d=3129.9915612079717
v,21,cs,3198.547544867487,d=2896.3176050230454
v,22,cs,2956.0213155176293,d=3011.556300604333
v,12,cs,5819.769631960964,d=2755.0059519701763
v,26,cs,2745.943015341344,d=3138.7243149442834
v,27,cs,2544.32548104489,d=3338.4639514259834
v,23,cs,2933.21658552502,d=3289.1417632716148
v,25,cs,2766.2224584452542,d=3292.504616450133
v,35,cs,2305.3541046553896,d=3308.1508654201484
v,33,cs,2388.847336249005,d=3514.7226808953938
v,30,cs,2523.662096715362,d=3317.3393804847697
v,17,cs,3829.2357128708077,d=2944.5645538261892
v,24,cs,2820.651293969796,d=2918.455556634281
v,15,cs,4442.501389574156,d=2817.019963124603
v,19,cs,3356.571837983931,d=3185.365944394763
./data/B-n45-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 751),
v,22,cs,3025.1801412771315,d=2926.2897716593025
v,23,cs,2918.1419200207333,d=3094.0787953844983
v,21,cs,3074.9565311500646,d=2942.2378762680387
v,30,cs,2503.8891092374997,d=3236.2413179241576
v,8,cs,7486.0194129666215,d=2613.4759675514056
v,35,cs,2243.864249281459,d=3405.3568234698732
v,20,cs,3206.9708830760987,d=2828.973881529273
v,12,cs,4904.957721809853,d=2389.2075646146413
v,31,cs,2482.2085717518958,d=3139.8594156596178
v,26,cs,2657.1686699249053,d=3048.6860650129215
v,25,cs,2723.0036112622656,d=3120.3521098054866
v,13,cs,4543.197812459027,d=2807.1465656645255
v,15,cs,4190.341562616005,d=2697.7103053315222
v,27,cs,2609.662291592413,d=3205.8386163010796
v,17,cs,3628.6675566337944,d=3026.514945431725
v,24,cs,2805.5404152954516,d=3265.30612532293
v,10,cs,6745.21067535771,d=2539.959814606466
v,16,cs,4008.3821390075254,d=2919.8682148538774
v,19,cs,3416.3697899435547,d=3011.0673824885585
v,18,cs,3443.7384874518175,d=2958.8076212758424
./data/B-n45-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 751),
v,25,cs,2616.23768076228,d=3256.1952524073845
v,9,cs,7007.855375627651,d=2744.3776472876643
v,22,cs,3088.928216607661,d=3184.6315331201604
v,20,cs,3222.3682981890624,d=3121.7272621496945
v,15,cs,4344.799414709035,d=2895.5602505373517
v,17,cs,3843.8628268089024,d=2923.1864457063716
v,19,cs,3564.624866364238,d=2681.1334239821763
v,45,cs,1856.2692877101967,d=3712.5385754203935
v,36,cs,2209.344895763296,d=3554.788898169182
v,32,cs,2412.805049879588,d=3308.6379344787006
v,21,cs,3181.4108471550558,d=3051.4888213058452
v,27,cs,2550.848528654405,d=3277.363654427979
v,35,cs,2340.1443526766543,d=3534.1632858327166
v,33,cs,2410.24211941392,d=3274.6271911171593
v,30,cs,2483.7802070501134,d=3373.3710158062236
v,24,cs,2842.049675849089,d=3209.74235393626
v,23,cs,2897.121646283163,d=3259.110661039339
v,5,cs,9761.36284141271,d=2541.39313068164
v,10,cs,6134.462171022095,d=2802.273600385527
v,11,cs,5689.8853402343075,d=2729.322495228721
v,13,cs,4941.385136841406,d=2849.5552214283985
v,12,cs,5261.52311130755,d=2697.9045332357114
v,16,cs,4098.80942532634,d=3017.488071571761
v,14,cs,4496.032276698074,d=3005.7949032102315
./data/B-n45-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 751),
v,29,cs,2560.36729326046,d=3204.111224282232
v,14,cs,4420.550948215686,d=2622.9386598524115
v,36,cs,2371.2337945611334,d=3354.751574452945
v,6,cs,8079.73153416891,d=2512.819928134559
v,16,cs,4023.0639512802745,d=2998.4579971710887
v,26,cs,2655.647056163242,d=3368.7634802308944
v,33,cs,2425.8471800991992,d=3345.9308043406227
v,24,cs,2816.178628436077,d=3050.485415132238
v,10,cs,5803.045854985919,d=2440.7361043342744
v,21,cs,3115.3403616465216,d=3147.706549456442
v,25,cs,2798.967526857153,d=3305.319656262029
v,19,cs,3418.222150077844,d=3113.6124197282106
v,18,cs,3613.124468895867,d=3053.50930822977
v,32,cs,2499.5360703468427,d=3291.108180284317
v,20,cs,3345.5884065699447,d=2984.250927592167
v,27,cs,2625.271101521444,d=3225.986816508054
v,22,cs,3000.8086765236276,d=2892.471144698488
v,23,cs,2996.4989580412525,d=3128.2734160729997
v,28,cs,2574.0543833082725,d=3255.376319673189
v,30,cs,2522.67913063164,d=3278.855807923099
./data/B-n45-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 751),
v,18,cs,3438.510820324756,d=2708.768170582896
v,25,cs,2787.8680610300753,d=3157.486201811938
v,22,cs,2914.5405725517544,d=3172.134308438318
v,21,cs,3093.4719221472524,d=3021.677452945256
v,36,cs,2177.5206880120572,d=3482.7455064121614
v,29,cs,2545.9072656121184,d=3318.4809521647926
v,20,cs,3239.413567300177,d=3253.3271365253167
v,16,cs,3926.916396790886,d=2759.0546652005464
v,14,cs,5049.367544297946,d=2836.891035784536
v,10,cs,6031.922324418455,d=2788.971356467562
v,24,cs,2876.7515518301643,d=3174.052977482269
v,12,cs,5874.594331106484,d=2690.096113606436
v,13,cs,5204.340304668778,d=2602.495093210732
v,15,cs,4552.390416489105,d=2774.845613774168
v,39,cs,2043.9147919525321,d=3628.7548822379904
v,38,cs,2133.957351210397,d=3561.653737755656
v,34,cs,2390.1089665870654,d=3383.3036549977605
v,31,cs,2403.1519328490276,d=3323.96224539278
v,28,cs,2581.8801609580714,d=3377.451360148812
v,30,cs,2454.6975153489516,d=3505.341840725072
v,17,cs,3748.346175037895,d=3022.012533722421
v,19,cs,3354.9190461634307,d=2879.0950331085005
v,27,cs,2604.088378542309,d=3137.9407143855906
v,26,cs,2731.832482737242,d=3102.452792560928
./data/B-n45-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 751),
v,21,cs,3046.1067384297835,d=2997.7535297667537
v,22,cs,2980.712521590593,d=3122.2925379491066
v,29,cs,2566.184320080393,d=3288.906105173289
v,25,cs,2742.4496771627164,d=3253.412627261255
v,9,cs,7324.771034730178,d=2796.1544641966457
v,20,cs,3276.967092563255,d=2919.0523974014277
v,17,cs,3757.737603445318,d=2970.339045932618
v,11,cs,5599.762671483779,d=2717.92944973822
v,28,cs,2613.267005830934,d=3351.1796669700952
v,26,cs,2695.0839524347716,d=3404.023735291642
v,15,cs,4133.423332908096,d=2622.3810048469327
v,19,cs,3406.5181997550617,d=3121.370435056464
v,6,cs,8780.58389716176,d=2554.0666550297883
v,13,cs,5125.124459050816,d=2572.7841775427037
v,27,cs,2668.805563679781,d=3243.361174382728
v,18,cs,3590.1546198356064,d=2891.053326938577
v,30,cs,2449.061017582888,d=3283.736633815299
v,32,cs,2443.316036191583,d=3339.92639608085
v,24,cs,2818.4256863032765,d=3364.872913463504
Grand front,B-n45-k5.vrp,n,34,obj0Max,45.0,obj0Min,5.0,obj1Max,9761.36284141271,obj1Min,1856.2692877101967
V,9,CS,6662.380911124709
V,30,CS,2417.8682177147
V,18,CS,3372.7163762239284
V,8,CS,6684.9331301985585
V,11,CS,5334.501607398983
V,28,CS,2508.279073111626
V,19,CS,3341.732920946647
V,21,CS,3004.122745259609
V,24,CS,2759.48298256921
V,37,CS,2127.5205811495075
V,45,CS,1856.2692877101967
V,38,CS,2120.3092819881954
V,42,CS,1980.333934329625
V,41,CS,1996.596797177814
V,32,CS,2369.5065331755204
V,33,CS,2210.630265660927
V,23,CS,2814.358681573698
V,27,CS,2544.32548104489
V,20,CS,3206.9708830760987
V,12,CS,4904.957721809853
V,13,CS,4543.197812459027
V,17,CS,3628.6675566337944
V,25,CS,2616.23768076228
V,45,CS,1856.2692877101967
V,5,CS,9761.36284141271
V,14,CS,4420.550948215686
V,6,CS,8079.73153416891
V,10,CS,5803.045854985919
V,22,CS,2914.5405725517544
V,36,CS,2177.5206880120572
V,16,CS,3926.916396790886
V,39,CS,2043.9147919525321
V,31,CS,2403.1519328490276
V,15,CS,4133.423332908096
./data/B-n45-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 678),
v,23,cs,2728.235945460292,d=2754.395719402864
v,16,cs,3819.1953534490995,d=2330.666534396885
v,19,cs,3235.317633680244,d=2559.47152387855
v,27,cs,2515.2719287232603,d=2719.601076066559
v,18,cs,3425.7512827607807,d=2598.958442571483
v,22,cs,2992.2970029502067,d=2636.1593969125565
v,25,cs,2585.1798300161863,d=2525.450433938231
v,20,cs,3099.675806068732,d=2549.697648222774
v,30,cs,2390.9490992622173,d=2857.082486169455
v,31,cs,2376.9560498467463,d=2858.157401944824
v,32,cs,2371.698226241934,d=2882.158008434076
v,21,cs,3051.304135843169,d=2407.990561315917
v,29,cs,2463.997666000993,d=3018.6937631074647
v,24,cs,2694.6478692158817,d=2676.415308496795
v,17,cs,3726.799005079445,d=2227.7759198142903
v,45,cs,1757.8025712128103,d=3515.6051424256207
v,37,cs,2014.9410943940927,d=3119.2730975298437
v,40,cs,1928.8415230273595,d=3309.312516815359
v,38,cs,1967.2717486300003,d=3352.935661040436
v,36,cs,2123.3502758092404,d=3220.3724381176035
v,34,cs,2184.4021207056194,d=3096.6867154584265
v,35,cs,2137.246109463546,d=3161.2026653557327
v,33,cs,2227.4182994606745,d=3025.6382484184405
./data/B-n45-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 678),
v,27,cs,2546.701150407521,d=2844.637673770656
v,28,cs,2476.9471189114684,d=2786.067432873786
v,11,cs,5707.133798268189,d=1868.0192619621905
v,14,cs,4616.580999104904,d=2165.4034713027063
v,12,cs,4710.713488579305,d=2174.8638644033645
v,16,cs,3783.123305242627,d=2043.6895197641848
v,23,cs,2800.9311094344616,d=2576.1473168030593
v,17,cs,3606.4495858896785,d=2406.660446701668
v,15,cs,4190.941551473322,d=2169.520312163331
v,45,cs,1757.8025712128108,d=3515.6051424256216
v,40,cs,2020.2099519683989,d=3137.037665813309
v,36,cs,2179.3938023775086,d=3097.427598659307
v,34,cs,2186.5021341528545,d=3058.9908808488995
v,33,cs,2300.684265303676,d=2950.0083360060225
v,31,cs,2307.7537344100765,d=2925.2417202241895
v,18,cs,3557.8911268434404,d=2573.7546892791024
v,20,cs,3149.997771373463,d=2566.060147196228
v,21,cs,2985.1733647692004,d=2505.9673360537495
v,25,cs,2668.3626656460915,d=2665.311191370161
v,26,cs,2620.1102256174904,d=2630.633655278542
v,29,cs,2396.235946907098,d=2742.970948799283
v,24,cs,2738.90506009441,d=2682.0497016445624
v,19,cs,3286.780291163952,d=2306.3284402790523
v,22,cs,2923.3634400067267,d=2674.0634730217157
./data/B-n45-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 678),
v,25,cs,2632.9967803967807,d=2638.9613766288376
v,35,cs,2175.9053420321293,d=3173.735958712923
v,28,cs,2477.128157003527,d=2789.233108818109
v,29,cs,2424.7152233564516,d=2769.0824669448825
v,20,cs,3169.705502432934,d=2579.568977571789
v,7,cs,7014.038697217888,d=1778.8280709385235
v,14,cs,4533.668478983439,d=2155.455056388115
v,10,cs,5947.905218307467,d=1914.418280954768
v,11,cs,5202.068305466326,d=2197.3570161615567
