prob,size,demand,avg bags,winlen,dist,time,costDel,getRoutes,getCost,dels/route,loadFactor
A-n64-k9.vrp,64,848,13,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,7,94.22222222,
A-n65-k9.vrp,65,877,13,1,0 V. Low,4 V. High,1 Low,1 Low,1 Low,2,36.54166667,
A-n65-k9.vrp,65,877,13,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,30.24137931,
A-n65-k9.vrp,65,877,13,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,35.08,
A-n65-k9.vrp,65,877,13,1,1 Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,46.15789474,
A-n65-k9.vrp,65,877,13,1,1 Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,46.15789474,
A-n65-k9.vrp,65,877,13,1,1 Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,43.85,
A-n65-k9.vrp,65,877,13,1,2 Medium,1 Low,0 V. Low,1 Low,0 V. Low,3,41.76190476,
A-n65-k9.vrp,65,877,13,1,2 Medium,0 V. Low,2 Medium,2 Medium,2 Medium,2,28.29032258,
A-n65-k9.vrp,65,877,13,1,2 Medium,1 Low,1 Low,1 Low,1 Low,2,39.86363636,
A-n65-k9.vrp,65,877,13,1,3 High,0 V. Low,1 Low,1 Low,1 Low,2,36.54166667,
A-n65-k9.vrp,65,877,13,1,1 Low,1 Low,0 V. Low,0 V. Low,0 V. Low,3,43.85,
A-n65-k9.vrp,65,877,13,1,3 High,0 V. Low,1 Low,1 Low,1 Low,2,39.86363636,
A-n65-k9.vrp,65,877,13,1,3 High,0 V. Low,0 V. Low,1 Low,0 V. Low,2,39.86363636,
A-n65-k9.vrp,65,877,13,1,2 Medium,1 Low,0 V. Low,1 Low,0 V. Low,3,41.76190476,
A-n65-k9.vrp,65,877,13,1,2 Medium,1 Low,0 V. Low,1 Low,0 V. Low,3,41.76190476,
A-n65-k9.vrp,65,877,13,1,1 Low,4 V. High,1 Low,1 Low,1 Low,2,39.86363636,
A-n65-k9.vrp,65,877,13,1,1 Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,46.15789474,
A-n65-k9.vrp,65,877,13,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,3,48.72222222,
A-n65-k9.vrp,65,877,13,1,2 Medium,1 Low,1 Low,1 Low,1 Low,2,38.13043478,
A-n65-k9.vrp,65,877,13,1,2 Medium,1 Low,1 Low,1 Low,1 Low,2,39.86363636,
A-n65-k9.vrp,65,877,13,1,2 Medium,0 V. Low,1 Low,1 Low,1 Low,2,38.13043478,
A-n65-k9.vrp,65,877,13,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,20.88095238,
A-n65-k9.vrp,65,877,13,1,4 V. High,0 V. Low,3 High,4 V. High,3 High,1,22.48717949,
A-n65-k9.vrp,65,877,13,1,1 Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,43.85,
A-n65-k9.vrp,65,877,13,1,1 Low,2 Medium,1 Low,1 Low,1 Low,2,36.54166667,
A-n65-k9.vrp,65,877,13,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,35.08,
A-n65-k9.vrp,65,877,13,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,6,87.7,
A-n69-k9.vrp,69,845,12,1,0 V. Low,4 V. High,3 High,2 Medium,3 High,2,30.17857143,
A-n69-k9.vrp,69,845,12,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,3,44.47368421,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,0 V. Low,0 V. Low,0 V. Low,3,40.23809524,
A-n69-k9.vrp,69,845,12,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,3,44.47368421,
A-n69-k9.vrp,69,845,12,1,3 High,0 V. Low,2 Medium,2 Medium,2 Medium,2,28.16666667,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,31.2962963,
A-n69-k9.vrp,69,845,12,1,3 High,0 V. Low,4 V. High,4 V. High,4 V. High,1,22.83783784,
A-n69-k9.vrp,69,845,12,1,3 High,0 V. Low,2 Medium,2 Medium,2 Medium,2,30.17857143,
A-n69-k9.vrp,69,845,12,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,22.83783784,
A-n69-k9.vrp,69,845,12,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,22.83783784,
A-n69-k9.vrp,69,845,12,1,2 Medium,0 V. Low,1 Low,1 Low,1 Low,2,35.20833333,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,32.5,
A-n69-k9.vrp,69,845,12,1,2 Medium,0 V. Low,0 V. Low,1 Low,0 V. Low,3,38.40909091,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,33.8,
A-n69-k9.vrp,69,845,12,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,2,32.5,
A-n69-k9.vrp,69,845,12,1,2 Medium,1 Low,1 Low,1 Low,1 Low,2,33.8,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,29.13793103,
A-n69-k9.vrp,69,845,12,1,0 V. Low,1 Low,2 Medium,2 Medium,2 Medium,2,32.5,
A-n69-k9.vrp,69,845,12,1,0 V. Low,1 Low,2 Medium,2 Medium,2 Medium,2,32.5,
A-n69-k9.vrp,69,845,12,1,0 V. Low,1 Low,1 Low,1 Low,1 Low,2,35.20833333,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,29.13793103,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,38.40909091,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,33.8,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,35.20833333,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,36.73913043,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,35.20833333,
A-n69-k9.vrp,69,845,12,1,2 Medium,1 Low,3 High,3 High,3 High,2,26.40625,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,3 High,3 High,3 High,2,27.25806452,
A-n69-k9.vrp,69,845,12,1,1 Low,1 Low,0 V. Low,0 V. Low,0 V. Low,3,40.23809524,
A-n69-k9.vrp,69,845,12,1,0 V. Low,1 Low,0 V. Low,0 V. Low,0 V. Low,3,40.23809524,
A-n69-k9.vrp,69,845,12,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,3,36.73913043,
A-n69-k9.vrp,69,845,12,1,0 V. Low,2 Medium,2 Medium,1 Low,2 Medium,2,33.8,
A-n69-k9.vrp,69,845,12,1,0 V. Low,2 Medium,2 Medium,2 Medium,2 Medium,2,32.5,
A-n69-k9.vrp,69,845,12,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,3,38.40909091,
A-n69-k9.vrp,69,845,12,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,3,36.73913043,
A-n69-k9.vrp,69,845,12,14,0 V. Low,3 High,1 Low,1 Low,1 Low,6,84.5,
A-n69-k9.vrp,69,845,12,14,1 Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,7,93.88888889,
A-n69-k9.vrp,69,845,12,14,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,5,70.41666667,
A-n69-k9.vrp,69,845,12,14,0 V. Low,3 High,4 V. High,4 V. High,4 V. High,5,70.41666667,
A-n69-k9.vrp,69,845,12,14,3 High,0 V. Low,1 Low,1 Low,1 Low,6,84.5,
A-n69-k9.vrp,69,845,12,14,4 V. High,1 Low,0 V. Low,0 V. Low,0 V. Low,7,93.88888889,
A-n80-k10.vrp,80,942,11,1,3 High,1 Low,2 Medium,2 Medium,2 Medium,2,34.88888889,
A-n80-k10.vrp,80,942,11,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,3,36.23076923,
A-n80-k10.vrp,80,942,11,1,0 V. Low,4 V. High,3 High,2 Medium,3 High,2,34.88888889,
A-n80-k10.vrp,80,942,11,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,36.23076923,
A-n80-k10.vrp,80,942,11,1,3 High,1 Low,2 Medium,2 Medium,2 Medium,2,34.88888889,
A-n80-k10.vrp,80,942,11,1,3 High,1 Low,1 Low,1 Low,1 Low,3,36.23076923,
A-n80-k10.vrp,80,942,11,1,3 High,1 Low,0 V. Low,0 V. Low,0 V. Low,3,37.68,
A-n80-k10.vrp,80,942,11,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,33.64285714,
A-n80-k10.vrp,80,942,11,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,2,31.4,
A-n80-k10.vrp,80,942,11,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,34.88888889,
A-n80-k10.vrp,80,942,11,14,2 Medium,4 V. High,2 Medium,0 V. Low,2 Medium,8,94.2,
A-n80-k10.vrp,80,942,11,14,1 Low,4 V. High,2 Medium,0 V. Low,2 Medium,8,94.2,
A-n80-k10.vrp,80,942,11,14,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,7,85.63636364,
A-n80-k10.vrp,80,942,11,14,4 V. High,0 V. Low,0 V. Low,0 V. Low,0 V. Low,8,94.2,
A-n80-k10.vrp,80,942,11,14,2 Medium,4 V. High,2 Medium,0 V. Low,2 Medium,8,94.2,
B-n31-k5.vrp,31,412,13,1,3 High,1 Low,4 V. High,4 V. High,4 V. High,4,58.85714286,
B-n31-k5.vrp,31,412,13,1,2 Medium,2 Medium,2 Medium,2 Medium,2 Medium,5,68.66666667,
B-n31-k5.vrp,31,412,13,1,1 Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,6,82.4,
B-n31-k5.vrp,31,412,13,1,1 Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,82.4,
B-n31-k5.vrp,31,412,13,1,0 V. Low,3 High,2 Medium,2 Medium,2 Medium,5,68.66666667,
B-n31-k5.vrp,31,412,13,1,4 V. High,0 V. Low,2 Medium,2 Medium,2 Medium,5,68.66666667,
B-n31-k5.vrp,31,412,13,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,6,82.4,
B-n34-k5.vrp,34,457,13,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,3,45.7,
B-n34-k5.vrp,34,457,13,1,3 High,1 Low,4 V. High,4 V. High,4 V. High,3,45.7,
B-n34-k5.vrp,34,457,13,1,2 Medium,3 High,0 V. Low,0 V. Low,0 V. Low,4,57.125,
B-n34-k5.vrp,34,457,13,1,0 V. Low,3 High,0 V. Low,0 V. Low,0 V. Low,4,57.125,
B-n34-k5.vrp,34,457,13,1,0 V. Low,4 V. High,1 Low,0 V. Low,1 Low,4,57.125,
B-n34-k5.vrp,34,457,13,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,3,50.77777778,
B-n34-k5.vrp,34,457,13,1,4 V. High,1 Low,2 Medium,2 Medium,2 Medium,3,50.77777778,
B-n34-k5.vrp,34,457,13,1,2 Medium,1 Low,1 Low,2 Medium,1 Low,3,50.77777778,
B-n34-k5.vrp,34,457,13,1,2 Medium,2 Medium,2 Medium,2 Medium,2 Medium,3,50.77777778,
B-n34-k5.vrp,34,457,13,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,91.4,
B-n34-k5.vrp,34,457,13,14,4 V. High,0 V. Low,4 V. High,0 V. Low,4 V. High,6,91.4,
B-n35-k5.vrp,35,437,12,1,4 V. High,0 V. Low,3 High,3 High,3 High,2,36.41666667,
B-n35-k5.vrp,35,437,12,1,0 V. Low,4 V. High,2 Medium,1 Low,2 Medium,3,48.55555556,
B-n35-k5.vrp,35,437,12,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,48.55555556,
B-n35-k5.vrp,35,437,12,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,3,43.7,
B-n35-k5.vrp,35,437,12,1,1 Low,2 Medium,3 High,2 Medium,3 High,3,39.72727273,
B-n35-k5.vrp,35,437,12,1,1 Low,2 Medium,3 High,3 High,3 High,2,36.41666667,
B-n35-k5.vrp,35,437,12,1,1 Low,3 High,4 V. High,3 High,4 V. High,2,36.41666667,
B-n35-k5.vrp,35,437,12,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,3,39.72727273,
B-n35-k5.vrp,35,437,12,1,1 Low,2 Medium,4 V. High,3 High,4 V. High,2,36.41666667,
B-n35-k5.vrp,35,437,12,1,2 Medium,1 Low,0 V. Low,1 Low,0 V. Low,3,48.55555556,
B-n35-k5.vrp,35,437,12,1,3 High,1 Low,1 Low,2 Medium,1 Low,3,43.7,
B-n35-k5.vrp,35,437,12,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,2,33.61538462,
B-n35-k5.vrp,35,437,12,1,2 Medium,1 Low,0 V. Low,1 Low,0 V. Low,3,48.55555556,
B-n35-k5.vrp,35,437,12,1,2 Medium,2 Medium,2 Medium,2 Medium,2 Medium,3,43.7,
B-n35-k5.vrp,35,437,12,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,48.55555556,
B-n35-k5.vrp,35,437,12,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,3,43.7,
B-n35-k5.vrp,35,437,12,1,3 High,2 Medium,0 V. Low,0 V. Low,0 V. Low,4,54.625,
B-n35-k5.vrp,35,437,12,1,4 V. High,1 Low,0 V. Low,0 V. Low,0 V. Low,4,54.625,
B-n35-k5.vrp,35,437,12,1,3 High,0 V. Low,1 Low,2 Medium,1 Low,3,43.7,
B-n35-k5.vrp,35,437,12,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,3,39.72727273,
B-n35-k5.vrp,35,437,12,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,7,87.4,
B-n35-k5.vrp,35,437,12,14,4 V. High,0 V. Low,4 V. High,0 V. Low,4 V. High,7,87.4,
B-n38-k6.vrp,38,512,13,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,2,36.57142857,
B-n38-k6.vrp,38,512,13,1,1 Low,3 High,0 V. Low,0 V. Low,0 V. Low,4,56.88888889,
B-n38-k6.vrp,38,512,13,1,1 Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,4,56.88888889,
B-n38-k6.vrp,38,512,13,1,1 Low,3 High,0 V. Low,0 V. Low,0 V. Low,4,56.88888889,
B-n38-k6.vrp,38,512,13,1,2 Medium,2 Medium,0 V. Low,0 V. Low,0 V. Low,4,56.88888889,
B-n38-k6.vrp,38,512,13,1,1 Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,4,56.88888889,
B-n38-k6.vrp,38,512,13,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,4,56.88888889,
B-n38-k6.vrp,38,512,13,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,3,46.54545455,
B-n38-k6.vrp,38,512,13,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,4,56.88888889,
B-n38-k6.vrp,38,512,13,1,0 V. Low,3 High,1 Low,1 Low,1 Low,3,51.2,
B-n38-k6.vrp,38,512,13,1,0 V. Low,3 High,2 Medium,2 Medium,2 Medium,3,46.54545455,
B-n38-k6.vrp,38,512,13,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,3,42.66666667,
B-n38-k6.vrp,38,512,13,1,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,4,56.88888889,
B-n38-k6.vrp,38,512,13,1,0 V. Low,3 High,1 Low,1 Low,1 Low,3,51.2,
B-n38-k6.vrp,38,512,13,1,0 V. Low,3 High,1 Low,1 Low,1 Low,3,51.2,
B-n38-k6.vrp,38,512,13,1,1 Low,2 Medium,1 Low,2 Medium,1 Low,3,46.54545455,
B-n38-k6.vrp,38,512,13,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,3,42.66666667,
B-n38-k6.vrp,38,512,13,1,1 Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,4,56.88888889,
B-n38-k6.vrp,38,512,13,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,6,85.33333333,
B-n39-k5.vrp,39,440,11,1,0 V. Low,4 V. High,1 Low,1 Low,1 Low,3,40,
B-n39-k5.vrp,39,440,11,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,27.5,
B-n39-k5.vrp,39,440,11,1,0 V. Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,4,48.88888889,
B-n39-k5.vrp,39,440,11,1,0 V. Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,44,
B-n39-k5.vrp,39,440,11,1,0 V. Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,44,
B-n39-k5.vrp,39,440,11,1,1 Low,1 Low,4 V. High,4 V. High,4 V. High,1,22,
B-n39-k5.vrp,39,440,11,1,1 Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,4,48.88888889,
B-n39-k5.vrp,39,440,11,1,3 High,0 V. Low,4 V. High,4 V. High,4 V. High,1,20.95238095,
B-n39-k5.vrp,39,440,11,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,36.66666667,
B-n39-k5.vrp,39,440,11,1,2 Medium,1 Low,3 High,3 High,3 High,2,25.88235294,
B-n39-k5.vrp,39,440,11,1,1 Low,1 Low,0 V. Low,0 V. Low,0 V. Low,3,44,
B-n39-k5.vrp,39,440,11,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,40,
B-n39-k5.vrp,39,440,11,1,3 High,0 V. Low,1 Low,1 Low,1 Low,3,40,
B-n39-k5.vrp,39,440,11,1,4 V. High,0 V. Low,2 Medium,2 Medium,2 Medium,2,31.42857143,
B-n39-k5.vrp,39,440,11,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,7,88,
B-n41-k6.vrp,41,567,13,1,0 V. Low,4 V. High,2 Medium,1 Low,2 Medium,2,40.5,
B-n41-k6.vrp,41,567,13,1,3 High,0 V. Low,3 High,3 High,3 High,2,28.35,
B-n41-k6.vrp,41,567,13,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,25.77272727,
B-n41-k6.vrp,41,567,13,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,47.25,
B-n41-k6.vrp,41,567,13,1,3 High,0 V. Low,3 High,3 High,3 High,2,29.84210526,
B-n41-k6.vrp,41,567,13,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,37.8,
B-n41-k6.vrp,41,567,13,1,1 Low,3 High,1 Low,1 Low,1 Low,3,47.25,
B-n41-k6.vrp,41,567,13,1,2 Medium,2 Medium,1 Low,1 Low,1 Low,3,47.25,
B-n41-k6.vrp,41,567,13,1,1 Low,3 High,1 Low,1 Low,1 Low,3,47.25,
B-n41-k6.vrp,41,567,13,1,1 Low,2 Medium,1 Low,1 Low,1 Low,2,40.5,
B-n41-k6.vrp,41,567,13,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,43.61538462,
B-n41-k6.vrp,41,567,13,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,43.61538462,
B-n41-k6.vrp,41,567,13,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,4,56.7,
B-n41-k6.vrp,41,567,13,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,35.4375,
B-n41-k6.vrp,41,567,13,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,37.8,
B-n41-k6.vrp,41,567,13,1,3 High,1 Low,2 Medium,2 Medium,2 Medium,2,35.4375,
B-n41-k6.vrp,41,567,13,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,35.4375,
B-n41-k6.vrp,41,567,13,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,37.8,
B-n41-k6.vrp,41,567,13,1,3 High,0 V. Low,3 High,3 High,3 High,2,31.5,
B-n41-k6.vrp,41,567,13,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,35.4375,
B-n41-k6.vrp,41,567,13,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,94.5,
B-n41-k6.vrp,41,567,13,14,0 V. Low,4 V. High,3 High,4 V. High,3 High,5,81,
B-n41-k6.vrp,41,567,13,14,3 High,0 V. Low,4 V. High,4 V. High,4 V. High,5,81,
B-n41-k6.vrp,41,567,13,14,4 V. High,3 High,2 Medium,0 V. Low,2 Medium,6,94.5,
B-n43-k6.vrp,43,521,12,1,2 Medium,1 Low,3 High,3 High,3 High,3,37.21428571,
B-n43-k6.vrp,43,521,12,1,0 V. Low,1 Low,2 Medium,2 Medium,2 Medium,3,40.07692308,
B-n43-k6.vrp,43,521,12,1,1 Low,1 Low,4 V. High,4 V. High,4 V. High,2,32.5625,
B-n43-k6.vrp,43,521,12,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,3,40.07692308,
B-n43-k6.vrp,43,521,12,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,3,40.07692308,
B-n43-k6.vrp,43,521,12,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,3,43.41666667,
B-n43-k6.vrp,43,521,12,1,0 V. Low,1 Low,2 Medium,2 Medium,2 Medium,3,40.07692308,
B-n43-k6.vrp,43,521,12,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,3,47.36363636,
B-n43-k6.vrp,43,521,12,1,1 Low,1 Low,3 High,3 High,3 High,2,34.73333333,
B-n43-k6.vrp,43,521,12,1,3 High,1 Low,4 V. High,4 V. High,4 V. High,2,32.5625,
B-n43-k6.vrp,43,521,12,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,3,43.41666667,
B-n43-k6.vrp,43,521,12,1,3 High,0 V. Low,3 High,3 High,3 High,3,37.21428571,
B-n43-k6.vrp,43,521,12,1,0 V. Low,1 Low,2 Medium,2 Medium,2 Medium,3,43.41666667,
B-n43-k6.vrp,43,521,12,1,3 High,0 V. Low,1 Low,2 Medium,1 Low,3,43.41666667,
B-n43-k6.vrp,43,521,12,1,2 Medium,1 Low,1 Low,2 Medium,1 Low,3,43.41666667,
B-n43-k6.vrp,43,521,12,1,3 High,1 Low,1 Low,1 Low,1 Low,3,47.36363636,
B-n43-k6.vrp,43,521,12,1,4 V. High,2 Medium,0 V. Low,0 V. Low,0 V. Low,4,57.88888889,
B-n43-k6.vrp,43,521,12,1,3 High,0 V. Low,0 V. Low,1 Low,0 V. Low,4,52.1,
B-n43-k6.vrp,43,521,12,1,0 V. Low,2 Medium,0 V. Low,1 Low,0 V. Low,4,52.1,
B-n43-k6.vrp,43,521,12,1,0 V. Low,4 V. High,2 Medium,2 Medium,2 Medium,3,43.41666667,
B-n43-k6.vrp,43,521,12,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,7,86.83333333,
B-n44-k7.vrp,44,641,14,1,2 Medium,0 V. Low,3 High,4 V. High,3 High,2,35.61111111,
B-n44-k7.vrp,44,641,14,1,0 V. Low,4 V. High,4 V. High,3 High,4 V. High,2,40.0625,
B-n44-k7.vrp,44,641,14,1,2 Medium,0 V. Low,0 V. Low,1 Low,0 V. Low,3,49.30769231,
B-n44-k7.vrp,44,641,14,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,49.30769231,
B-n44-k7.vrp,44,641,14,1,1 Low,2 Medium,2 Medium,1 Low,2 Medium,3,45.78571429,
B-n44-k7.vrp,44,641,14,1,4 V. High,0 V. Low,3 High,3 High,3 High,2,37.70588235,
B-n44-k7.vrp,44,641,14,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,42.73333333,
B-n44-k7.vrp,44,641,14,1,1 Low,1 Low,2 Medium,3 High,2 Medium,2,40.0625,
B-n44-k7.vrp,44,641,14,1,1 Low,1 Low,2 Medium,3 High,2 Medium,2,40.0625,
B-n44-k7.vrp,44,641,14,1,1 Low,1 Low,2 Medium,3 High,2 Medium,2,40.0625,
B-n44-k7.vrp,44,641,14,1,1 Low,0 V. Low,2 Medium,3 High,2 Medium,2,40.0625,
B-n44-k7.vrp,44,641,14,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,42.73333333,
B-n44-k7.vrp,44,641,14,1,1 Low,1 Low,2 Medium,3 High,2 Medium,2,40.0625,
B-n44-k7.vrp,44,641,14,1,1 Low,1 Low,3 High,3 High,3 High,2,37.70588235,
B-n44-k7.vrp,44,641,14,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,45.78571429,
B-n44-k7.vrp,44,641,14,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,42.73333333,
B-n44-k7.vrp,44,641,14,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,49.30769231,
B-n44-k7.vrp,44,641,14,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,3,53.41666667,
B-n44-k7.vrp,44,641,14,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,42.73333333,
B-n44-k7.vrp,44,641,14,1,1 Low,2 Medium,2 Medium,1 Low,2 Medium,3,45.78571429,
B-n44-k7.vrp,44,641,14,1,2 Medium,0 V. Low,3 High,3 High,3 High,2,37.70588235,
B-n44-k7.vrp,44,641,14,14,2 Medium,0 V. Low,4 V. High,4 V. High,4 V. High,5,80.125,
B-n44-k7.vrp,44,641,14,14,4 V. High,1 Low,0 V. Low,0 V. Low,0 V. Low,6,91.57142857,
B-n44-k7.vrp,44,641,14,14,2 Medium,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,91.57142857,
B-n44-k7.vrp,44,641,14,14,2 Medium,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,91.57142857,
B-n44-k7.vrp,44,641,14,14,0 V. Low,1 Low,4 V. High,4 V. High,4 V. High,5,80.125,
B-n44-k7.vrp,44,641,14,14,3 High,2 Medium,0 V. Low,0 V. Low,0 V. Low,6,91.57142857,
B-n45-k5.vrp,45,486,10,1,0 V. Low,4 V. High,1 Low,0 V. Low,1 Low,3,37.38461538,
B-n45-k5.vrp,45,486,10,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,32.4,
B-n45-k5.vrp,45,486,10,1,1 Low,1 Low,1 Low,1 Low,1 Low,2,30.375,
B-n45-k5.vrp,45,486,10,1,1 Low,3 High,1 Low,1 Low,1 Low,3,32.4,
B-n45-k5.vrp,45,486,10,1,1 Low,3 High,1 Low,1 Low,1 Low,3,34.71428571,
B-n45-k5.vrp,45,486,10,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,34.71428571,
B-n45-k5.vrp,45,486,10,1,1 Low,2 Medium,1 Low,0 V. Low,1 Low,3,37.38461538,
B-n45-k5.vrp,45,486,10,1,0 V. Low,3 High,2 Medium,1 Low,2 Medium,3,32.4,
B-n45-k5.vrp,45,486,10,1,1 Low,2 Medium,2 Medium,1 Low,2 Medium,2,30.375,
B-n45-k5.vrp,45,486,10,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,3,40.5,
B-n45-k5.vrp,45,486,10,1,2 Medium,0 V. Low,0 V. Low,0 V. Low,0 V. Low,3,40.5,
B-n45-k5.vrp,45,486,10,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,20.25,
B-n45-k5.vrp,45,486,10,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,19.44,
B-n45-k5.vrp,45,486,10,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,3,37.38461538,
